DOEID,REGIONC,DIVISION,REPORTABLE_DOMAIN,HDD65,CDD65,TOTSQFT,Y1_BTUEL,DOLLAREL,Y2_BTUNG,DOLLARNG,HDD50,CDD80,WSF,OA_LAT
7647,2,4,10,8918,261,2808,18668,1029,219145,1892,4893,0,.58,0
7648,4,10,26,1118,1596,1225,8844,230,34133,262,36,76,.43,0
7650,3,5,13,3482,1528,4256,65927,2023,76158,1006,1213,0,.52,9
7651,3,7,21,2419,2438,1358,51020,1995,2563,27,454,493,.52,2
7652,3,7,21,1207,3211,988,30210,1383,13633,298,69,621,.51,23
7654,4,8,22,5579,723,3137,20626,646,109880,962,2381,0,.61,0
7656,1,2,3,6619,360,3180,45182,1932,196288,2868,2814,0,.48,3
7657,2,3,9,7245,401,3870,23256,938,134378,1325,3672,0,.69,2
7659,2,3,9,8311,362,3124,36976,1411,138888,1352,4736,0,.5,1
7660,1,1,2,6765,367,1875,20554,994,147190,1981,3357,0,.49,3
7662,2,4,10,7734,553,639,14051,545,144320,1275,4100,23,.63,1
7663,1,2,3,5962,556,3033,33526,1686,119003,1737,3079,0,.56,2
7664,4,9,24,1039,3827,616,22175,697,8815,151,79,1006,.44,1
7666,4,10,26,1233,1459,2274,18800,763,30750,315,15,124,.4,0
7668,1,2,5,5475,583,896,19469,535,41718,593,2558,2,.46,3
7672,2,4,12,5143,815,750,24942,759,29827,581,2156,7,.45,5
7673,4,10,26,823,1412,602,9666,198,10865,128,0,93,.39,1
7675,2,3,7,5982,549,1838,9311,290,70725,730,2638,0,.62,3
7677,4,10,26,1119,1215,1120,20926,750,38233,317,17,0,.38,2
7678,2,4,10,6171,670,3300,24495,914,43870,520,3196,4,.57,4
7679,3,5,15,3654,1271,4610,47229,1592,45408,878,1100,9,.39,6
7680,1,2,4,5087,775,6264,93062,5192,434293,6355,2018,0,.53,6
7684,3,7,21,1124,3519,600,25802,1302,17528,191,115,638,.42,17
7687,4,10,27,10094,33,2588,59352,2732,220170,2184,5687,0,.68,0
7688,2,3,6,6000,837,951,18162,408,27880,325,3134,40,.51,3
7689,3,7,21,623,4420,1200,12751,463,21833,239,72,900,.49,21
7691,1,2,3,4822,857,811,12409,624,50328,734,1903,15,.61,5
7692,3,7,21,2322,2478,1503,46393,1684,62730,787,463,567,.5,7
7694,2,3,7,6313,553,771,46758,1170,86920,730,2969,0,.58,1
7696,1,2,3,6340,505,2551,30432,1080,135813,2043,3155,0,.55,2
7701,4,9,24,802,4932,1811,55465,1895,27470,537,34,1845,.43,0
7702,1,1,2,6652,440,2775,17104,677,84460,1411,2888,0,.49,1
7703,4,10,27,4805,438,2150,49856,1514,61910,839,1344,18,.49,0
7704,1,2,3,5024,840,2625,27258,1702,110290,1609,2067,17,.59,4
7706,2,3,6,5755,777,2922,32735,1018,142680,1327,2819,16,.55,3
7707,3,5,14,4104,1686,575,9758,402,12198,166,1602,95,.51,7
